""
"('FeLip9', 'PET', 1, 20, 14, 54)"
"('FeLip9', 'PET', 1, 20, 15, 78)"
"('FeLip9', 'PET', 1, 21, 0, 0)"
"('FeLip9', 'PET', 1, 21, 1, 1)"
"('FeLip9', 'PET', 1, 21, 2, 2)"
"('FeLip9', 'PET', 1, 21, 3, 3)"
"('FeLip9', 'PET', 1, 21, 4, 4)"
"('FeLip9', 'PET', 1, 22, 0, 0)"
"('FeLip9', 'PET', 1, 22, 1, 2)"
"('FeLip9', 'PET', 1, 22, 2, 13)"
"('FeLip9', 'PET', 1, 22, 3, 16)"
"('FeLip9', 'PET', 1, 22, 4, 19)"
"('FeLip9', 'PET', 1, 22, 5, 20)"
"('FeLip9', 'PET', 1, 22, 6, 26)"
"('FeLip9', 'PET', 1, 22, 7, 27)"
"('FeLip9', 'PET', 1, 22, 8, 40)"
"('FeLip9', 'PET', 1, 22, 9, 55)"
"('FeLip9', 'PET', 1, 22, 10, 57)"
"('FeLip9', 'PET', 1, 22, 11, 60)"
"('FeLip9', 'PET', 1, 22, 12, 70)"
"('FeLip9', 'PET', 1, 22, 13, 72)"
"('FeLip9', 'PET', 1, 22, 14, 74)"
"('FeLip9', 'PET', 1, 22, 15, 84)"
"('FeLip9', 'PET', 1, 23, 0, 0)"
"('FeLip9', 'PET', 1, 23, 1, 1)"
"('FeLip9', 'PET', 1, 23, 2, 3)"
"('FeLip9', 'PET', 1, 23, 3, 4)"
"('FeLip9', 'PET', 1, 23, 4, 11)"
"('FeLip9', 'PET', 1, 23, 5, 15)"
"('FeLip9', 'PET', 1, 23, 6, 16)"
"('FeLip9', 'PET', 1, 23, 7, 19)"
"('FeLip9', 'PET', 1, 23, 8, 20)"
"('FeLip9', 'PET', 1, 23, 9, 22)"
"('FeLip9', 'PET', 1, 23, 10, 34)"
"('FeLip9', 'PET', 1, 23, 11, 35)"
"('FeLip9', 'PET', 1, 23, 12, 38)"
"('FeLip9', 'PET', 1, 23, 13, 40)"
